Year,Month,Day,CANCEL_RATE,CANCEL_ORDERS,TOTAL_ORDERS,CATEGORY
2024,December,9,"0,00 %",0,9180,Finished
2024,December,9,"0,20 %",18,9180,Other
2024,December,9,"0,52 %",48,9180,Partner
2024,December,9,"1,97 %",181,9180,RT
2024,December,9,"0,28 %",26,9180,Tech
2024,December,9,"0,70 %",64,9180,User
2024,December,9,"0,56 %",51,9180,UX
2024,December,16,"0,00 %",0,7648,Finished
2024,December,16,"0,26 %",20,7648,Other
2024,December,16,"0,67 %",51,7648,Partner
2024,December,16,"0,99 %",76,7648,RT
2024,December,16,"0,14 %",11,7648,Tech
2024,December,16,"0,54 %",41,7648,User
2024,December,16,"0,50 %",38,7648,UX
