SUB_CATEGORY,Cancel_rate,Year,Month,Day
CBPI,"0,01 %",2024,December,16
CBPI,"0,06 %",2024,December,23
Delay in Store,"0,09 %",2024,December,16
Delay in Store,"0,06 %",2024,December,23
Other,"0,03 %",2024,December,16
Rescheduled Order,"0,06 %",2024,December,16
Shopper Delay,"0,01 %",2024,December,16
Stockout,"0,36 %",2024,December,16
Stockout,"0,22 %",2024,December,23
Store Closed,"0,01 %",2024,December,16
Store Closed,"0,24 %",2024,December,23
Other,"0,00 %",2024,December,23
Rescheduled Order,"0,00 %",2024,December,23
Shopper Delay,"0,00 %",2024,December,23

